3.19924,1.01966,20,
3.19945,0.765493,20,
3.19963,0.511325,20,
3.19981,0.255665,20,
3.2,0,20,
3.44315,0,20,
3.6863,0,20,
3.92945,0,20,
4.17261,0,20,
4.43391,0,20,
4.69521,0,20,
4.95616,0,20,
5.21711,0,20,
5.47736,0,20,
5.7376,0,20,
3.19848,2.02632,20,
3.19866,1.7764,20,
3.19886,1.52648,20,
3.19905,1.27308,20,
3.19804,2.52891,20,
3.19826,2.27761,20,
3.19756,3.03293,20,
3.1978,2.78091,20,
3.19731,3.28525,20,
3.19702,3.53761,20,
5.99644,0,20,
6.25528,0,20,
7.83616,0.377651,20,
7.83604,0.566424,20,
7.83593,0.755181,20,
6.51774,0,20,
6.7802,0,20,
7.83541,1.51645,20,
7.8353,1.68012,20,
7.83517,1.84379,20,
7.83504,1.99145,20,
7.83492,2.13912,20,
7.8358,0.954837,20,
7.83566,1.15449,20,
7.83648,0,20,
7.83627,0.188854,20,
7.04346,0,20,
7.30673,0,20,
7.83553,1.33547,20,
7.5716,0,20,
7.8348,2.2734,20,
7.83466,2.40768,20,
7.83379,3.40893,20.0001,
7.83373,3.48221,20.0002,
7.83367,3.55549,20.0004,
7.83393,3.24652,20,
7.83386,3.32773,20,
7.83455,2.52852,20,
7.83445,2.64937,20,
7.83435,2.75932,20,
7.83426,2.86926,20,
7.83409,3.06686,20,
7.834,3.15669,20,
7.83417,2.96806,20,
3.19645,4.04274,20,
3.19674,3.79018,20,
3.19594,4.52032,20,
3.19618,4.28153,20,
4.0325,5.01531,20,
4.01641,5.01498,20,
4.00031,5.01465,20,
3.19544,4.99792,20,
3.19567,4.75912,20,
4.06469,5.01596,20,
4.0486,5.01563,20,
3.91984,5.013,20,
3.90374,5.01267,20,
3.93593,5.01333,20,
3.58179,5.006,20,
3.56569,5.00566,20,
3.5496,5.00532,20,
3.98422,5.01432,20,
3.96812,5.01399,20,
3.95203,5.01366,20,
3.45301,5.00331,20,
3.32422,5.00062,20,
3.83935,5.01134,20,
3.82326,5.01101,20,
3.80716,5.01068,20,
3.87155,5.01201,20,
3.85545,5.01168,20,
3.88764,5.01234,20,
3.67838,5.00801,20,
3.66228,5.00767,20,
3.64618,5.00734,20,
3.48521,5.00398,20,
