3.19544	4.99792
3.32422	5.00062
3.45301	5.00331
3.48521	5.00398
3.5174	5.00465
3.5335	5.00499
3.5496	5.00532
3.56569	5.00566
3.58179	5.006
3.59789	5.00633
3.61398	5.00667
3.63008	5.007
3.64618	5.00734
3.66228	5.00767
3.67838	5.00801
3.69448	5.00835
3.71058	5.00869
3.72667	5.00902
3.74277	5.00935
3.75887	5.00968
3.77497	5.01002
3.79106	5.01035
3.80716	5.01068
3.82326	5.01101
3.83935	5.01134
3.85545	5.01168
3.87155	5.01201
3.88764	5.01234
3.90374	5.01267
3.91984	5.013
3.93593	5.01333
3.95203	5.01366
3.96812	5.01399
3.98422	5.01432
4.00031	5.01465
4.01641	5.01498
4.0325	5.01531
4.0486	5.01563
4.06469	5.01596
4.08079	5.01629
4.09688	5.01662
4.11297	5.01694
4.12907	5.01727
4.14516	5.0176
4.16125	5.01792
4.17735	5.01825
4.19344	5.01858
4.19381	5.5889
4.18791	5.59177
4.18223	5.59469
4.17656	5.5976
4.17087	5.60052
4.16518	5.60344
4.15615	5.60448
4.14892	5.60916
4.13828	5.61067
4.12854	5.6127
4.12276	5.61363
4.11851	5.6167
4.11025	5.6168
4.10386	5.62092
4.09578	5.62341
4.08674	5.62939
4.08093	5.6316
4.07513	5.63379
4.06935	5.63598
4.06356	5.63817
4.05714	5.63877
4.05104	5.64184
4.04578	5.64453
4.04038	5.64841
4.03452	5.65004
4.02899	5.65352
4.02364	5.65505
4.01894	5.65954
4.0112	5.66433
4.00347	5.6691
3.99875	5.67203
3.9944	5.67666
3.99009	5.67993
3.98613	5.68448
3.98046	5.68958
3.97506	5.69576
3.97103	5.69985
3.96716	5.70424
3.96359	5.70892
3.96044	5.71381
3.95638	5.719
3.95262	5.72482
3.94849	5.73116
3.94452	5.73756
3.94183	5.74321
3.93915	5.74887
3.93648	5.75453
3.93382	5.76018
3.93176	5.76502
3.9297	5.76986
3.92787	5.775
3.92604	5.78013
3.92424	5.78527
3.92246	5.7904
3.92052	5.79735
3.91884	5.80468
3.91738	5.81181
3.91621	5.81929
3.91509	5.8263
3.91424	5.83361
3.91353	5.84077
3.91317	5.84822
3.91305	5.85528
3.91311	5.86243
3.91339	5.86921
3.91395	5.87605
3.91474	5.88244
3.91588	5.8888
3.91847	5.89747
3.92109	5.9061
3.926	5.91299
3.93116	5.91987
3.93779	5.92127
3.94551	5.92035
3.95194	5.91826
3.95784	5.91632
3.96333	5.91451
3.96954	5.91243
3.97456	5.91076
3.97958	5.90906
3.98469	5.90732
3.9898	5.90558
3.99772	5.90284
4.00567	5.90005
4.01444	5.89694
4.02323	5.89376
4.03071	5.891
4.03822	5.88819
4.04353	5.8862
4.04884	5.88419
4.05699	5.8811
4.06513	5.87801
4.0704	5.87591
4.07572	5.87378
4.08457	5.8702
4.09342	5.86661
4.0985	5.86446
4.1036	5.86228
4.1083	5.86028
4.11301	5.85826
4.12126	5.85463
